Date,Open,High,Low,Close,Volume
10-01-2005,30.51,30.92,29.98,30.11,3547442
11-01-2005,30.19,30.3,29.21,29.39,5897323
12-01-2005,29.44,30.01,28.68,28.92,5418621
13-01-2005,29.42,30.25,29.08,30.02,5227290
14-01-2005,30.09,30.17,29.13,29.28,4454731
17-01-2005,33.62,33.62,28.23,28.99,6473366
18-01-2005,27.66,29.62,27.66,28.92,4938665
19-01-2005,29,29.8,28.99,29.29,5622537
20-01-2005,29.51,29.71,28.42,29.56,9135453
24-01-2005,29.84,30.49,29.59,30.3,5767206
25-01-2005,30.19,31.02,30.01,30.93,4671764
27-01-2005,31.17,31.67,31.11,31.24,7008920
28-01-2005,31.27,32.04,31.21,31.99,4938264
31-01-2005,32.19,32.67,32.11,32.48,3905098
01-02-2005,32.78,32.87,31.96,32.13,3584312
02-02-2005,32.27,32.69,32.15,32.28,3314675
03-02-2005,32.45,33.41,32.45,33.28,6321206
04-02-2005,33.55,33.83,32.92,33.37,7353833
07-02-2005,33.75,34.13,33.38,33.58,6514978
08-02-2005,33.61,33.87,32.95,33.26,5801780
09-02-2005,33.56,33.98,33.39,33.68,5137228
10-02-2005,33.75,33.78,33.14,33.46,4633002
11-02-2005,33.62,33.79,33.41,33.54,4112559
14-02-2005,33.71,34.3,33.69,34.03,4315548
15-02-2005,34.09,34.22,33.67,33.8,4357736
16-02-2005,33.88,34.66,33.88,34.19,7971979
17-02-2005,34.13,34.88,33.82,34.63,7834705
18-02-2005,34.97,35.23,34.59,34.79,8313134
21-02-2005,34.8,34.88,34.18,34.33,4443281
22-02-2005,34.46,34.88,34.07,34.68,3980059
23-02-2005,34.76,35.12,34.46,34.8,5321227
24-02-2005,34.93,35.09,34.55,34.63,5973205
25-02-2005,34.72,34.92,34.25,34.46,5136070
28-02-2005,34.55,35.8,34.04,35.49,7516620
01-03-2005,35.39,35.56,34.88,35.41,5257021
02-03-2005,35.52,36.1,35.52,36.03,5645248
03-03-2005,35.98,36.37,35.98,36.2,4263889
04-03-2005,36.37,36.44,35.91,36.05,3064419
07-03-2005,36.23,36.81,36.21,36.55,3735174
08-03-2005,36.6,36.8,36.24,36.71,4446678
09-03-2005,36.82,36.99,36.18,36.33,3150285
10-03-2005,36.31,36.36,35.85,36.25,3717115
11-03-2005,36.4,37.24,36.4,37.08,5205571
14-03-2005,37.15,37.52,36.69,36.8,4395220
15-03-2005,36.89,37.39,36.44,37.22,5244292
16-03-2005,37.25,37.55,36.82,37.02,4046649
17-03-2005,36.9,36.99,35.89,36.22,4367946
18-03-2005,36.13,36.65,35.45,36.49,5081285
21-03-2005,36.65,36.71,35.96,36.22,3175400
22-03-2005,36.12,36.15,34.97,35.1,4665637
23-03-2005,35.31,35.68,34.06,34.33,8124765
24-03-2005,34.46,34.92,34.25,34.66,5483254
28-03-2005,34.91,35.55,34.88,35.16,4338051
29-03-2005,35.26,35.26,33.48,33.76,7600624
30-03-2005,33.62,34.12,32.88,33.3,7049205
31-03-2005,33.85,34.04,33.41,33.71,8633039
01-04-2005,33.9,34.55,33.58,34.4,4889815
04-04-2005,34.4,34.67,32.97,33.09,5484795
05-04-2005,33.12,33.29,31.98,32.14,6606516
06-04-2005,33.15,33.15,32.32,32.82,5248679
07-04-2005,33.12,33.12,32.36,32.43,3417939
08-04-2005,32.45,32.74,31.88,32.03,4797174
11-04-2005,32.19,32.51,31.54,32.05,4116245
12-04-2005,32.11,32.81,31.97,32.69,3321621
13-04-2005,33.12,33.12,31.87,32.03,3948636
15-04-2005,31.52,31.77,30.61,30.79,6061247
18-04-2005,29.89,30.51,29.59,29.77,4877319
19-04-2005,29.93,30.6,29.02,29.19,5686273
20-04-2005,28.99,30.6,28.99,30.52,7077706
21-04-2005,30.59,31.1,29.93,31.02,4889210
22-04-2005,31.25,31.27,30.29,30.4,4034140
25-04-2005,30.43,30.84,30.12,30.53,3365075
26-04-2005,30.66,30.76,30.04,30.15,3038806
27-04-2005,30.09,30.09,29.27,29.39,3453666
28-04-2005,29.59,29.63,28.71,28.86,6267455
29-04-2005,29,29.14,28.53,28.66,6721989
02-05-2005,29,29.14,28.5,29.01,5385231
03-05-2005,29.08,29.49,28.77,28.87,5040293
04-05-2005,29.04,29.83,28.96,29.77,4820099
05-05-2005,29.93,30.29,29.61,29.84,5479392
06-05-2005,29.91,30,29.26,29.79,4884536
09-05-2005,30.18,30.63,29.84,30.51,4258303
10-05-2005,30.56,30.73,30.03,30.14,3829290
11-05-2005,30.26,30.26,29.51,30.04,3240579
12-05-2005,30.09,30.47,29.94,30.09,2979026
13-05-2005,30.01,30.32,29.67,30.23,3393952
16-05-2005,30.26,30.67,30.18,30.53,2184696
17-05-2005,30.68,30.89,29.63,29.76,3173423
18-05-2005,29.76,30.35,29.51,30,5401616
19-05-2005,30.26,30.76,29.83,29.99,7706110
20-05-2005,29.93,30.25,29.69,29.86,4933443
23-05-2005,29.98,30.07,29.36,29.53,3811125
24-05-2005,29.67,30.21,29.51,30.1,4574392
25-05-2005,30.14,30.24,29.77,29.86,3344304
26-05-2005,29.84,30.05,29.69,29.9,2490236
27-05-2005,30.26,31.02,29.93,30.48,4353073
30-05-2005,30.68,30.68,30.24,30.37,2239772
31-05-2005,30.34,30.77,30.3,30.54,2314887
01-06-2005,30.6,30.74,29.87,29.95,3396048
02-06-2005,29.93,29.93,29.25,29.34,3659175
03-06-2005,29.42,29.59,28.92,29.4,4665847
06-06-2005,29.8,29.95,29.28,29.38,3311323
07-06-2005,28.75,28.75,28.35,28.52,2814886
08-06-2005,28.66,28.74,28.15,28.53,3819599
09-06-2005,28.43,28.82,28.24,28.4,3978266
10-06-2005,28.58,28.72,28.02,28.11,4947916
13-06-2005,28.28,28.32,27.74,27.81,2761506
14-06-2005,27.91,28.29,27.82,28.11,2937911
15-06-2005,28.16,28.64,28.16,28.53,3429767
16-06-2005,28.58,28.99,28.48,28.53,3651570
17-06-2005,28.61,28.74,28.23,28.65,2512130
20-06-2005,28.93,29.45,28.5,29.3,4140360
21-06-2005,29.51,30.09,29.43,30.02,4967151
22-06-2005,30.18,31.09,29.91,30.6,12174206
23-06-2005,30.79,31.32,30.56,30.76,6421574
24-06-2005,30.51,30.84,30.3,30.51,3719640
27-06-2005,30.68,30.85,30.09,30.2,4657127
28-06-2005,30.19,30.27,28.54,28.72,4274358
29-06-2005,28.75,29.2,28.35,29.09,4496675
30-06-2005,29.17,29.25,28.37,28.56,5542375
01-07-2005,28.75,29.13,28.25,28.93,4305948
04-07-2005,29,29.37,28.83,29.08,2588483
05-07-2005,29.51,30.25,28.78,29.16,4741283
06-07-2005,29.25,29.67,29,29.44,3646166
07-07-2005,29.51,30.24,29.51,29.74,6222167
08-07-2005,30.09,30.67,30.09,30.45,5374088
11-07-2005,30.43,30.81,30.35,30.43,2784589
12-07-2005,30.51,30.68,29.84,30.29,2724082
13-07-2005,30.5,30.5,29.63,29.85,2594945
14-07-2005,29.92,30.02,29.42,29.47,1759242
15-07-2005,29.59,30.03,29.22,29.88,2325561
18-07-2005,29.93,30.68,29.79,30.48,3350732
19-07-2005,30.64,31.22,30.36,31.08,4089642
20-07-2005,31.22,31.51,31.03,31.24,3284496
21-07-2005,31.27,31.64,30.85,31.08,4099183
22-07-2005,31.11,31.94,30.94,31.84,3548932
25-07-2005,31.94,32.57,31.94,32.39,4489951
26-07-2005,32.64,32.93,32.11,32.78,4306159
27-07-2005,32.78,33.05,31.38,31.55,7943596
29-07-2005,33.71,33.71,30.68,30.9,5856044
01-08-2005,30.89,30.92,30.26,30.67,3690527
02-08-2005,30.51,31.81,30.43,31.37,5840959
03-08-2005,31.61,32.07,30.75,31.02,4411583
04-08-2005,31.06,32.44,31.02,32.2,8001953
05-08-2005,32.28,33,32.09,32.63,5363466
08-08-2005,32.62,33.31,32.49,32.61,5761954
09-08-2005,32.51,33.51,32.25,32.62,5778464
10-08-2005,32.87,33.62,32.87,33.46,4505671
11-08-2005,33.62,34.36,33.62,33.98,6541138
12-08-2005,34.3,34.37,33.21,33.86,5500676
16-08-2005,34.13,34.55,34.04,34.43,4174896
17-08-2005,34.46,34.93,34.15,34.83,3779635
18-08-2005,34.84,35.04,34.2,34.37,4731648
19-08-2005,34.38,34.59,33.62,33.79,4258198
22-08-2005,33.79,34.12,32.82,33.04,2384729
23-08-2005,33.62,33.62,32.13,32.22,3267303
24-08-2005,32.29,32.47,31.28,31.61,4431895
25-08-2005,33.29,33.29,31.62,32.19,5108242
26-08-2005,33.2,33.46,32.22,32.7,2764258
29-08-2005,32.78,32.78,31.79,32.29,2542491
30-08-2005,32.28,33,32.28,32.88,2042769
31-08-2005,32.95,32.95,32.59,32.83,1695646
01-09-2005,33.01,33.36,32.95,33.05,1938088
02-09-2005,33.14,34.25,33.08,34.09,5154272
05-09-2005,34.19,34.53,33.88,34.04,3680537
06-09-2005,34.04,34.38,33.93,34.15,3080285
08-09-2005,34.29,34.55,34.22,34.42,2270205
09-09-2005,34.44,34.63,33.87,34.43,1860209
12-09-2005,34.63,34.86,34.53,34.62,1780019
13-09-2005,34.62,34.7,34.26,34.33,1273438
14-09-2005,34.3,34.71,33.66,34.04,2640117
15-09-2005,34.88,38.3,34.07,34.8,1699592
16-09-2005,34.88,35.68,34.8,35.46,3832209
19-09-2005,35.64,36.3,35.46,36.12,3103581
20-09-2005,36.12,36.67,35.73,35.99,3923927
21-09-2005,29.41,36.15,29.41,35.17,4019285
22-09-2005,34.56,35.6,33.5,33.78,5836687
23-09-2005,33.83,34.37,32.99,33.83,4463474
26-09-2005,33.88,35.17,33.88,34.98,2949406
27-09-2005,35.05,35.5,34.65,35.05,3196250
28-09-2005,34.46,35.26,34.46,35.09,2312980
29-09-2005,35.18,35.68,34.8,35.12,4480388
30-09-2005,35.39,36.01,34.94,35.6,6767884
03-10-2005,35.56,36.14,35.56,35.81,2246896
04-10-2005,35.85,36.66,35.85,36.41,3664264
05-10-2005,36.57,36.61,35.56,35.68,4982608
06-10-2005,35.56,35.56,33.72,33.94,6589529
07-10-2005,33.38,34.17,33.13,33.23,5584473
10-10-2005,33.37,33.43,32.5,32.63,3772700
11-10-2005,32.87,33.22,32.16,33.14,3999437
13-10-2005,32.87,32.95,31.49,31.63,5419094
14-10-2005,31.74,32.16,31.36,31.86,5615514
17-10-2005,31.94,32.47,31.49,32.31,4618966
18-10-2005,32.52,32.66,30.61,31.51,3408087
19-10-2005,31.24,31.4,29.59,30.39,4549667
